ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
216042_at,2.91E-01,1.30E-01,-1.54,-5.797168,-1.07E-01,TNFRSF25,TNF receptor superfamily member 25,8718
206906_at,2.91E-01,1.30E-01,-1.54,-5.797302,-2.02E-02,ICAM5,intercellular adhesion molecule 5,7087
210701_at,2.91E-01,1.30E-01,-1.54,-5.797376,-1.47E-01,CFDP1,craniofacial development protein 1,10428
211817_s_at,2.91E-01,1.31E-01,-1.54,-5.798306,-6.42E-02,KCNJ5,potassium voltage-gated channel subfamily J member 5,3762
207191_s_at,2.92E-01,1.31E-01,1.54,-5.798876,5.03E-01,ISLR,immunoglobulin superfamily containing leucine rich repeat,3671
205135_s_at,2.92E-01,1.31E-01,1.54,-5.799018,1.00E-01,NUFIP1,"NUFIP1, FMR1 interacting protein 1",26747
206668_s_at,2.92E-01,1.31E-01,1.54,-5.799288,2.23E-01,SCAMP1,secretory carrier membrane protein 1,9522
206744_s_at,2.92E-01,1.31E-01,-1.54,-5.7997,-4.15E-02,ZMYM5,zinc finger MYM-type containing 5,9205
204016_at,2.92E-01,1.31E-01,1.54,-5.799843,1.26E-01,LARS2,"leucyl-tRNA synthetase 2, mitochondrial",23395
215643_at,2.92E-01,1.31E-01,1.54,-5.800075,2.19E-01,SEMA3D,semaphorin 3D,223117
220279_at,2.92E-01,1.31E-01,-1.54,-5.800162,-4.20E-02,TRIM17,tripartite motif containing 17,51127
201548_s_at,2.92E-01,1.31E-01,-1.54,-5.800753,-2.79E-01,KDM5B,lysine demethylase 5B,10765
209156_s_at,2.93E-01,1.31E-01,-1.54,-5.802295,-5.14E-01,COL6A2,collagen type VI alpha 2 chain,1292
214871_x_at,2.93E-01,1.31E-01,-1.54,-5.802527,-3.56E-02,LOC100287590,uncharacterized LOC100287590,100287590
208276_at,2.93E-01,1.31E-01,-1.54,-5.802739,-5.87E-02,,,
217320_at,2.93E-01,1.31E-01,-1.54,-5.802825,-6.69E-01,LOC100293211,uncharacterized LOC100293211,100293211
213528_at,2.93E-01,1.31E-01,1.54,-5.803108,2.81E-01,METTL18,methyltransferase like 18,92342
202809_s_at,2.93E-01,1.31E-01,1.54,-5.803137,1.64E-01,INTS3,integrator complex subunit 3,65123
207616_s_at,2.93E-01,1.31E-01,-1.54,-5.803358,-2.11E-01,TANK,TRAF family member associated NFKB activator,10010
201426_s_at,2.93E-01,1.31E-01,1.54,-5.803492,1.96E-01,VIM,vimentin,7431
205518_s_at,2.93E-01,1.31E-01,1.54,-5.803524,5.62E-01,CMAHP,"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene",8418
221709_s_at,2.93E-01,1.31E-01,-1.54,-5.80374,-1.76E-01,ZNF839,zinc finger protein 839,55778
48117_at,2.93E-01,1.31E-01,1.54,-5.803842,2.42E-01,SGF29,SAGA complex associated factor 29,112869
221887_s_at,2.93E-01,1.31E-01,1.54,-5.804147,3.22E-02,WHRN,whirlin,25861
211438_at,2.93E-01,1.32E-01,-1.54,-5.804343,-7.33E-02,TRHR,thyrotropin releasing hormone receptor,7201
220950_s_at,2.93E-01,1.32E-01,-1.54,-5.804977,-9.84E-02,KANSL3,KAT8 regulatory NSL complex subunit 3,55683
201846_s_at,2.93E-01,1.32E-01,1.54,-5.804988,2.68E-01,RYBP,RING1 and YY1 binding protein,23429
201318_s_at,2.93E-01,1.32E-01,-1.54,-5.805198,-9.54E-02,MYL12B///MYL12A,myosin light chain 12B///myosin light chain 12A,103910///10627
213357_at,2.93E-01,1.32E-01,1.54,-5.805218,1.65E-01,GTF2H5,general transcription factor IIH subunit 5,404672
215066_at,2.93E-01,1.32E-01,-1.54,-5.805308,-3.76E-02,PTPRF,"protein tyrosine phosphatase, receptor type F",5792
205654_at,2.93E-01,1.32E-01,-1.54,-5.80575,-8.08E-02,C4BPA,complement component 4 binding protein alpha,722
201216_at,2.93E-01,1.32E-01,1.54,-5.805972,1.85E-01,ERP29,endoplasmic reticulum protein 29,10961
212475_at,2.93E-01,1.32E-01,1.54,-5.806031,1.09E-01,AVL9,AVL9 cell migration associated,23080
211797_s_at,2.93E-01,1.32E-01,1.54,-5.806267,2.69E-01,NFYC,nuclear transcription factor Y subunit gamma,4802
215715_at,2.94E-01,1.32E-01,-1.54,-5.80653,-7.95E-02,SLC6A2,solute carrier family 6 member 2,6530
219296_at,2.94E-01,1.32E-01,1.54,-5.807101,2.20E-01,ZDHHC13,zinc finger DHHC-type containing 13,54503
220782_x_at,2.94E-01,1.32E-01,-1.53,-5.807858,-1.64E-01,KLK12,kallikrein related peptidase 12,43849
216940_x_at,2.94E-01,1.32E-01,1.53,-5.807862,3.97E-02,YBX1,Y-box binding protein 1,4904
221125_s_at,2.94E-01,1.32E-01,1.53,-5.808188,1.38E-02,KCNMB3,potassium calcium-activated channel subfamily M regulatory beta subunit 3,27094
200827_at,2.94E-01,1.32E-01,-1.53,-5.808365,-1.99E-01,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",5351
221533_at,2.94E-01,1.32E-01,-1.53,-5.808396,-6.16E-02,FAM162A,family with sequence similarity 162 member A,26355
204747_at,2.94E-01,1.32E-01,-1.53,-5.809154,-4.85E-01,IFIT3,interferon induced protein with tetratricopeptide repeats 3,3437
208964_s_at,2.94E-01,1.32E-01,-1.53,-5.809282,-1.50E-01,MIR1908///FADS1,microRNA 1908///fatty acid desaturase 1,100302263///3992
214474_at,2.94E-01,1.32E-01,-1.53,-5.809567,-2.14E-02,PRKAB2,protein kinase AMP-activated non-catalytic subunit beta 2,5565
213577_at,2.95E-01,1.32E-01,1.53,-5.809903,1.04E-01,SQLE,squalene epoxidase,6713
211223_at,2.95E-01,1.32E-01,-1.53,-5.810041,-1.36E-01,PROP1,PROP paired-like homeobox 1,5626
207006_s_at,2.95E-01,1.32E-01,-1.53,-5.810076,-4.50E-02,CCDC106,coiled-coil domain containing 106,29903
218775_s_at,2.95E-01,1.32E-01,1.53,-5.810225,2.63E-01,WWC2///CLDN22,WW and C2 domain containing 2///claudin 22,80014///53842
210925_at,2.95E-01,1.32E-01,-1.53,-5.810232,-1.00E-01,CIITA,class II major histocompatibility complex transactivator,4261
209151_x_at,2.95E-01,1.33E-01,-1.53,-5.810433,-1.07E-01,TCF3,transcription factor 3,6929
215772_x_at,2.95E-01,1.33E-01,1.53,-5.81077,1.86E-01,SUCLG2,succinate-CoA ligase GDP-forming beta subunit,8801
202195_s_at,2.95E-01,1.33E-01,1.53,-5.810935,2.15E-01,TMED5,transmembrane p24 trafficking protein 5,50999
220501_at,2.95E-01,1.33E-01,-1.53,-5.811177,-2.14E-02,ACTL7A,actin like 7A,10881
204716_at,2.95E-01,1.33E-01,1.53,-5.811446,1.20E-01,CCDC6,coiled-coil domain containing 6,8030
201575_at,2.95E-01,1.33E-01,1.53,-5.812697,1.32E-01,SNW1,SNW domain containing 1,22938
207463_x_at,2.95E-01,1.33E-01,-1.53,-5.812968,-1.85E-01,PRSS3,"protease, serine 3",5646
208526_at,2.96E-01,1.33E-01,-1.53,-5.814018,-3.19E-02,OR2F1,olfactory receptor family 2 subfamily F member 1 (gene/pseudogene),26211
220115_s_at,2.96E-01,1.33E-01,-1.53,-5.814171,-5.07E-02,CDH10,cadherin 10,1008
202644_s_at,2.96E-01,1.33E-01,1.53,-5.814263,7.59E-01,TNFAIP3,TNF alpha induced protein 3,7128
210688_s_at,2.96E-01,1.33E-01,1.53,-5.814291,2.01E-02,CPT1A,carnitine palmitoyltransferase 1A,1374
222278_at,2.96E-01,1.33E-01,-1.53,-5.814536,-9.26E-02,LOC101929726,uncharacterized LOC101929726,101929726
221708_s_at,2.96E-01,1.33E-01,1.53,-5.814541,9.60E-02,UNC45A,unc-45 myosin chaperone A,55898
210066_s_at,2.96E-01,1.33E-01,1.53,-5.814772,1.20E-02,AQP4,aquaporin 4,361
210417_s_at,2.96E-01,1.33E-01,1.53,-5.815118,2.54E-01,PI4KB,phosphatidylinositol 4-kinase beta,5298
219863_at,2.96E-01,1.33E-01,1.53,-5.81541,4.00E-01,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5,51191
208132_x_at,2.96E-01,1.33E-01,-1.53,-5.815724,-2.57E-01,PRRC2A,proline rich coiled-coil 2A,7916
221919_at,2.96E-01,1.34E-01,-1.53,-5.816558,-4.25E-01,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1,3178
207176_s_at,2.96E-01,1.34E-01,-1.53,-5.816858,-7.95E-02,CD80,CD80 molecule,941
203003_at,2.96E-01,1.34E-01,-1.53,-5.816947,-1.85E-01,MEF2D,myocyte enhancer factor 2D,4209
AFFX-HUMRGE/M10098_M_at,2.96E-01,1.34E-01,-1.53,-5.816951,-6.37E-01,,,
204699_s_at,2.96E-01,1.34E-01,1.53,-5.816987,2.06E-01,DIEXF,digestive organ expansion factor homolog (zebrafish),27042
221022_s_at,2.96E-01,1.34E-01,-1.53,-5.817109,-5.75E-02,PMFBP1,polyamine modulated factor 1 binding protein 1,83449
218010_x_at,2.96E-01,1.34E-01,-1.53,-5.817111,-3.11E-01,PPDPF,pancreatic progenitor cell differentiation and proliferation factor,79144
208146_s_at,2.96E-01,1.34E-01,1.53,-5.817553,3.58E-01,CPVL,"carboxypeptidase, vitellogenic like",54504
217471_at,2.97E-01,1.34E-01,-1.53,-5.817716,-8.20E-02,LINC01482,long intergenic non-protein coding RNA 1482,101928104
213216_at,2.97E-01,1.34E-01,-1.53,-5.817957,-3.08E-01,OTUD3,OTU deubiquitinase 3,23252
220859_at,2.97E-01,1.34E-01,-1.53,-5.817961,-8.89E-02,,,
217205_at,2.97E-01,1.34E-01,-1.53,-5.818037,-3.33E-02,LOC100420758,poly(A) binding protein nuclear 1 pseudogene,100420758
216326_s_at,2.97E-01,1.34E-01,1.53,-5.818637,1.21E-01,HDAC3,histone deacetylase 3,8841
211583_x_at,2.97E-01,1.34E-01,1.53,-5.818751,1.97E-02,NCR3,natural cytotoxicity triggering receptor 3,259197
207120_at,2.97E-01,1.34E-01,1.53,-5.818832,2.24E-01,ZNF667,zinc finger protein 667,63934
212181_s_at,2.97E-01,1.34E-01,1.53,-5.819281,2.30E-01,NUDT4P1///NUDT4P2///NUDT4,nudix hydrolase 4 pseudogene 1///nudix hydrolase 4 pseudogene 2///nudix hydrolase 4,440672///170688///11163
219264_s_at,2.97E-01,1.34E-01,-1.53,-5.819367,-1.99E-01,PPP2R3B,protein phosphatase 2 regulatory subunit B''beta,28227
218662_s_at,2.97E-01,1.34E-01,-1.53,-5.819738,-2.48E-01,NCAPG,non-SMC condensin I complex subunit G,64151
221378_at,2.97E-01,1.34E-01,-1.53,-5.820101,-2.34E-02,CER1,"cerberus 1, DAN family BMP antagonist",9350
202088_at,2.97E-01,1.34E-01,-1.53,-5.82021,-1.45E-01,SLC39A6,solute carrier family 39 member 6,25800
206581_at,2.97E-01,1.34E-01,-1.53,-5.820436,-5.78E-02,BNC1,basonuclin 1,646
206132_at,2.97E-01,1.34E-01,-1.53,-5.820709,-1.02E-01,MCC,mutated in colorectal cancers,4163
204921_at,2.97E-01,1.34E-01,-1.53,-5.821024,-2.59E-01,GAS8,growth arrest specific 8,2622
213775_x_at,2.97E-01,1.34E-01,1.53,-5.821093,2.44E-01,ZNF638-IT1///ZNF638,ZNF638 intronic transcript 1///zinc finger protein 638,100507113///27332
219403_s_at,2.98E-01,1.34E-01,-1.53,-5.821599,-1.24E-01,HPSE,heparanase,10855
214158_s_at,2.98E-01,1.35E-01,-1.52,-5.822175,-1.23E-02,PRDM10,PR/SET domain 10,56980
205341_at,2.98E-01,1.35E-01,-1.52,-5.822623,-1.44E-01,EHD2,EH domain containing 2,30846
205428_s_at,2.98E-01,1.35E-01,-1.52,-5.822973,-1.43E-01,CALB2,calbindin 2,794
213217_at,2.98E-01,1.35E-01,-1.52,-5.823063,-3.08E-01,ADCY2,adenylate cyclase 2,108
220661_s_at,2.98E-01,1.35E-01,-1.52,-5.823556,-3.12E-01,ZNF692,zinc finger protein 692,55657
215866_at,2.98E-01,1.35E-01,-1.52,-5.82365,-4.97E-02,,,
215306_at,2.98E-01,1.35E-01,1.52,-5.824624,6.08E-02,,,
211355_x_at,2.99E-01,1.35E-01,1.52,-5.824861,4.37E-01,LEPROT///LEPR,leptin receptor overlapping transcript///leptin receptor,54741///3953
210615_at,2.99E-01,1.35E-01,-1.52,-5.824949,-5.14E-02,NRP1,neuropilin 1,8829
211587_x_at,2.99E-01,1.35E-01,-1.52,-5.825059,-1.60E-02,CHRNA3,cholinergic receptor nicotinic alpha 3 subunit,1136
207559_s_at,2.99E-01,1.35E-01,-1.52,-5.825781,-1.96E-01,ZMYM3,zinc finger MYM-type containing 3,9203
208676_s_at,2.99E-01,1.35E-01,-1.52,-5.82601,-1.53E-01,PA2G4,proliferation-associated 2G4,5036
212724_at,2.99E-01,1.35E-01,-1.52,-5.826254,-5.27E-01,RND3,Rho family GTPase 3,390
221912_s_at,2.99E-01,1.35E-01,-1.52,-5.826362,-1.46E-01,CCDC28B,coiled-coil domain containing 28B,79140
204470_at,2.99E-01,1.35E-01,-1.52,-5.826577,-4.01E-01,CXCL1,C-X-C motif chemokine ligand 1,2919
204614_at,2.99E-01,1.35E-01,-1.52,-5.826848,-7.02E-02,SERPINB2,serpin family B member 2,5055
210932_s_at,2.99E-01,1.35E-01,-1.52,-5.827307,-2.63E-02,RNF6,ring finger protein 6,6049
219042_at,2.99E-01,1.35E-01,-1.52,-5.827537,-2.16E-01,LZTS1,leucine zipper tumor suppressor 1,11178
205765_at,2.99E-01,1.35E-01,-1.52,-5.827565,-1.12E-02,CYP3A5,cytochrome P450 family 3 subfamily A member 5,1577
202785_at,2.99E-01,1.35E-01,1.52,-5.827993,2.04E-01,NDUFA7,NADH:ubiquinone oxidoreductase subunit A7,4701
206429_at,2.99E-01,1.36E-01,-1.52,-5.828061,-1.51E-01,F2RL1,F2R like trypsin receptor 1,2150
203100_s_at,2.99E-01,1.36E-01,-1.52,-5.828132,-1.48E-01,CDYL,chromodomain Y-like,9425
220636_at,2.99E-01,1.36E-01,-1.52,-5.828176,-1.04E-02,DNAI2,dynein axonemal intermediate chain 2,64446
219841_at,3.00E-01,1.36E-01,1.52,-5.829224,9.39E-02,AICDA,activation-induced cytidine deaminase,57379
214744_s_at,3.00E-01,1.36E-01,-1.52,-5.829459,-1.52E-01,SNORA21///RPL23,"small nucleolar RNA, H/ACA box 21///ribosomal protein L23",619505///9349
218702_at,3.00E-01,1.36E-01,-1.52,-5.829718,-1.83E-01,SARS2,"seryl-tRNA synthetase 2, mitochondrial",54938
221440_s_at,3.00E-01,1.36E-01,-1.52,-5.829742,-9.38E-02,RBBP9,"RB binding protein 9, serine hydrolase",10741
205560_at,3.00E-01,1.36E-01,-1.52,-5.829878,-2.95E-01,PCSK5,proprotein convertase subtilisin/kexin type 5,5125
214790_at,3.00E-01,1.36E-01,1.52,-5.830735,1.83E-01,SENP6,SUMO1/sentrin specific peptidase 6,26054
210101_x_at,3.00E-01,1.36E-01,-1.52,-5.830842,-1.64E-01,SH3GLB1,SH3 domain containing GRB2 like endophilin B1,51100
208927_at,3.00E-01,1.36E-01,1.52,-5.831008,2.02E-01,SPOP,speckle type BTB/POZ protein,8405
213706_at,3.00E-01,1.36E-01,-1.52,-5.831094,-1.61E-01,GPD1,glycerol-3-phosphate dehydrogenase 1,2819
210872_x_at,3.00E-01,1.36E-01,-1.52,-5.831256,-3.84E-02,GAS7,growth arrest specific 7,8522
220248_x_at,3.00E-01,1.36E-01,1.52,-5.831397,1.65E-01,NSFL1C,NSFL1 cofactor,55968
206731_at,3.00E-01,1.36E-01,-1.52,-5.831645,-2.27E-02,CNKSR2,connector enhancer of kinase suppressor of Ras 2,22866
210395_x_at,3.00E-01,1.36E-01,1.52,-5.831971,5.48E-01,MYL4,myosin light chain 4,4635
221207_s_at,3.00E-01,1.36E-01,1.52,-5.832093,5.47E-01,NBEA,neurobeachin,26960
202434_s_at,3.00E-01,1.36E-01,-1.52,-5.832188,-1.04E-01,CYP1B1,cytochrome P450 family 1 subfamily B member 1,1545
204380_s_at,3.00E-01,1.36E-01,-1.52,-5.832469,-1.66E-02,FGFR3,fibroblast growth factor receptor 3,2261
203070_at,3.00E-01,1.36E-01,-1.52,-5.832724,-2.13E-02,SEMA3B,semaphorin 3B,7869
212678_at,3.00E-01,1.36E-01,1.52,-5.832792,2.67E-01,NF1P9///NF1,neurofibromin 1 pseudogene 9///neurofibromin 1,101930150///4763
214061_at,3.00E-01,1.36E-01,1.52,-5.832822,1.67E-01,TBC1D31,TBC1 domain family member 31,93594
206708_at,3.00E-01,1.36E-01,-1.52,-5.832882,-2.07E-02,FOXN2,forkhead box N2,3344
203209_at,3.01E-01,1.36E-01,-1.52,-5.833069,-2.51E-01,RFC5,replication factor C subunit 5,5985
207652_s_at,3.01E-01,1.36E-01,-1.52,-5.833307,-1.02E-01,CMKLR1,chemerin chemokine-like receptor 1,1240
218651_s_at,3.01E-01,1.36E-01,1.52,-5.833406,4.48E-01,LARP6,La ribonucleoprotein domain family member 6,55323
215034_s_at,3.01E-01,1.36E-01,-1.52,-5.83352,-5.98E-01,TM4SF1,transmembrane 4 L six family member 1,4071
205281_s_at,3.01E-01,1.36E-01,1.52,-5.83353,3.52E-01,PIGA,phosphatidylinositol glycan anchor biosynthesis class A,5277
209637_s_at,3.01E-01,1.36E-01,-1.52,-5.833602,-6.46E-02,RGS12,regulator of G-protein signaling 12,6002
220983_s_at,3.01E-01,1.36E-01,-1.52,-5.833643,-7.84E-02,MIR612///NEAT1,microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding),693197///283131
219590_x_at,3.01E-01,1.37E-01,1.52,-5.833827,1.56E-01,DPH5,diphthamide biosynthesis 5,51611
220374_at,3.01E-01,1.37E-01,-1.52,-5.834251,-5.95E-02,KLHL28,kelch like family member 28,54813
204075_s_at,3.01E-01,1.37E-01,-1.52,-5.834345,-1.61E-01,CEP104,centrosomal protein 104,9731
219281_at,3.01E-01,1.37E-01,-1.52,-5.83439,-1.71E-01,MSRA,methionine sulfoxide reductase A,4482
211804_s_at,3.01E-01,1.37E-01,-1.52,-5.834952,-6.49E-02,CDK2,cyclin dependent kinase 2,1017
211112_at,3.01E-01,1.37E-01,-1.52,-5.834976,-1.40E-01,SLC12A4,solute carrier family 12 member 4,6560
221408_x_at,3.01E-01,1.37E-01,-1.52,-5.836025,-1.04E-01,PCDHB12,protocadherin beta 12,56124
204067_at,3.01E-01,1.37E-01,1.52,-5.836164,1.55E-01,SUOX,sulfite oxidase,6821
218769_s_at,3.01E-01,1.37E-01,1.52,-5.836337,1.46E-01,ANKRA2,ankyrin repeat family A member 2,57763
207601_at,3.01E-01,1.37E-01,-1.52,-5.836421,-6.17E-02,SULT1B1,sulfotransferase family 1B member 1,27284
211581_x_at,3.01E-01,1.37E-01,-1.52,-5.836441,-4.70E-01,LST1,leukocyte specific transcript 1,7940
211129_x_at,3.01E-01,1.37E-01,-1.52,-5.836503,-1.28E-02,EDA,ectodysplasin A,1896
214908_s_at,3.01E-01,1.37E-01,-1.52,-5.836651,-2.79E-01,TRRAP,transformation/transcription domain associated protein,8295
204712_at,3.01E-01,1.37E-01,-1.51,-5.83675,-4.73E-01,WIF1,WNT inhibitory factor 1,11197
202982_s_at,3.01E-01,1.37E-01,1.51,-5.836926,2.33E-01,ACOT1///ACOT2,acyl-CoA thioesterase 1///acyl-CoA thioesterase 2,641371///10965
216225_at,3.01E-01,1.37E-01,-1.51,-5.837089,-4.51E-02,,,
201971_s_at,3.01E-01,1.37E-01,-1.51,-5.837103,-3.59E-01,ATP6V1A,ATPase H+ transporting V1 subunit A,523
206103_at,3.01E-01,1.37E-01,1.51,-5.837272,6.07E-02,RAC3,"ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)",5881
204697_s_at,3.01E-01,1.37E-01,1.51,-5.837421,2.61E-01,CHGA,chromogranin A,1113
200987_x_at,3.01E-01,1.37E-01,1.51,-5.837541,2.82E-01,PSME3,proteasome activator subunit 3,10197
211662_s_at,3.01E-01,1.37E-01,1.51,-5.837621,1.61E-01,VDAC2,voltage dependent anion channel 2,7417
207222_at,3.01E-01,1.37E-01,-1.51,-5.837638,-1.66E-01,LOC100652777///PLA2G10,group 10 secretory phospholipase A2-like///phospholipase A2 group X,100652777///8399
220496_at,3.01E-01,1.37E-01,-1.51,-5.837674,-5.21E-02,CLEC1B,C-type lectin domain family 1 member B,51266
218525_s_at,3.01E-01,1.37E-01,-1.51,-5.837711,-9.01E-02,HIF1AN,hypoxia inducible factor 1 alpha subunit inhibitor,55662
203031_s_at,3.01E-01,1.37E-01,1.51,-5.837772,2.50E-01,UROS,uroporphyrinogen III synthase,7390
206683_at,3.01E-01,1.37E-01,1.51,-5.838076,2.48E-01,ZNF165,zinc finger protein 165,7718
204764_at,3.01E-01,1.37E-01,1.51,-5.838082,3.36E-02,CHURC1-FNTB///FNTB,"CHURC1-FNTB readthrough///farnesyltransferase, CAAX box, beta",100529261///2342
215405_at,3.02E-01,1.37E-01,-1.51,-5.838665,-6.51E-02,,,
217377_x_at,3.02E-01,1.37E-01,-1.51,-5.838712,-1.46E-01,NTRK3,neurotrophic receptor tyrosine kinase 3,4916
219616_at,3.02E-01,1.37E-01,-1.51,-5.838912,-1.53E-01,ACSS3,acyl-CoA synthetase short-chain family member 3,79611
208302_at,3.02E-01,1.37E-01,-1.51,-5.839059,-3.07E-02,HMHB1,histocompatibility minor HB-1,57824
213988_s_at,3.02E-01,1.37E-01,-1.51,-5.839452,-2.04E-01,SAT1,spermidine/spermine N1-acetyltransferase 1,6303
52164_at,3.02E-01,1.37E-01,-1.51,-5.839465,-1.58E-01,C11orf24,chromosome 11 open reading frame 24,53838
210808_s_at,3.02E-01,1.37E-01,-1.51,-5.839486,-2.22E-02,NOX1,NADPH oxidase 1,27035
209217_s_at,3.02E-01,1.38E-01,-1.51,-5.83985,-1.64E-01,WDR45,WD repeat domain 45,11152
AFFX-hum_alu_at,3.02E-01,1.38E-01,-1.51,-5.840038,-1.79E-01,,,
208567_s_at,3.02E-01,1.38E-01,-1.51,-5.840376,-1.35E-01,LOC100996843///KCNJ18///KCNJ12,ATP-sensitive inward rectifier potassium channel 12-like///potassium voltage-gated channel subfamily J member 18///potassium voltage-gated channel subfamily J member 12,100996843///100134444///3768
200610_s_at,3.02E-01,1.38E-01,1.51,-5.840757,1.75E-01,NCL,nucleolin,4691
204180_s_at,3.02E-01,1.38E-01,-1.51,-5.840844,-1.36E-01,ZBTB43,zinc finger and BTB domain containing 43,23099
222183_x_at,3.02E-01,1.38E-01,-1.51,-5.841377,-1.25E-01,MBD3,methyl-CpG binding domain protein 3,53615
204604_at,3.02E-01,1.38E-01,1.51,-5.841485,2.59E-01,CDK14,cyclin dependent kinase 14,5218
204674_at,3.02E-01,1.38E-01,1.51,-5.841676,5.17E-01,LRMP,lymphoid restricted membrane protein,4033
203575_at,3.02E-01,1.38E-01,-1.51,-5.841717,-3.03E-01,CSNK2A2,casein kinase 2 alpha 2,1459
220326_s_at,3.02E-01,1.38E-01,1.51,-5.841729,4.90E-01,ARHGEF40,Rho guanine nucleotide exchange factor 40,55701
215456_at,3.02E-01,1.38E-01,-1.51,-5.84205,-4.32E-02,,,
209075_s_at,3.02E-01,1.38E-01,-1.51,-5.842105,-1.60E-01,ISCU,iron-sulfur cluster assembly enzyme,23479
200812_at,3.03E-01,1.38E-01,1.51,-5.842644,1.53E-01,CCT7,chaperonin containing TCP1 subunit 7,10574
219275_at,3.03E-01,1.38E-01,1.51,-5.842694,2.17E-01,PDCD5,programmed cell death 5,9141
212562_s_at,3.03E-01,1.38E-01,-1.51,-5.842741,-2.41E-02,CTSZ,cathepsin Z,1522
215120_s_at,3.03E-01,1.38E-01,-1.51,-5.843038,-2.90E-02,SAMD4A,sterile alpha motif domain containing 4A,23034
211303_x_at,3.03E-01,1.38E-01,-1.51,-5.84354,-3.75E-02,FOLH1B,folate hydrolase 1B,219595
217723_x_at,3.03E-01,1.38E-01,-1.51,-5.84369,-4.61E-02,RPS12,ribosomal protein S12,6206
209183_s_at,3.03E-01,1.38E-01,1.51,-5.844105,5.18E-01,C10orf10,chromosome 10 open reading frame 10,11067
218567_x_at,3.03E-01,1.38E-01,-1.51,-5.844414,-2.67E-01,DPP3,dipeptidyl peptidase 3,10072
210886_x_at,3.03E-01,1.38E-01,-1.51,-5.844544,-2.82E-01,TP53TG1,TP53 target 1 (non-protein coding),11257
203087_s_at,3.03E-01,1.38E-01,1.51,-5.844642,3.10E-01,KIF2A,kinesin family member 2A,3796
220153_at,3.03E-01,1.38E-01,-1.51,-5.844796,-6.90E-03,ENTPD7,ectonucleoside triphosphate diphosphohydrolase 7,57089
204219_s_at,3.03E-01,1.38E-01,1.51,-5.845003,1.23E-01,PSMC1,"proteasome 26S subunit, ATPase 1",5700
206281_at,3.03E-01,1.38E-01,1.51,-5.845131,4.54E-03,ADCYAP1,adenylate cyclase activating polypeptide 1,116
215615_x_at,3.03E-01,1.39E-01,-1.51,-5.845638,-4.80E-02,,,
212960_at,3.03E-01,1.39E-01,-1.51,-5.84565,-1.52E-01,TBC1D9,TBC1 domain family member 9,23158
205869_at,3.03E-01,1.39E-01,-1.51,-5.846075,-1.63E-01,PRSS2///PRSS1,"protease, serine 2///protease, serine 1",5645///5644
215125_s_at,3.04E-01,1.39E-01,-1.51,-5.846263,-6.08E-02,UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10,UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A7///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10,54659///54658///54657///54600///54579///54578///54577///54576///54575
221029_s_at,3.04E-01,1.39E-01,-1.51,-5.846491,-1.02E-01,WNT5B,Wnt family member 5B,81029
212442_s_at,3.04E-01,1.39E-01,-1.51,-5.846676,-2.22E-01,CERS6,ceramide synthase 6,253782
214210_at,3.04E-01,1.39E-01,1.51,-5.846789,1.08E-01,SLC25A17,solute carrier family 25 member 17,10478
214401_at,3.04E-01,1.39E-01,1.51,-5.846913,5.02E-02,PAX1,paired box 1,5075
213821_s_at,3.04E-01,1.39E-01,1.51,-5.847308,1.02E-02,IDS,iduronate 2-sulfatase,3423
203327_at,3.04E-01,1.39E-01,-1.51,-5.84738,-2.08E-01,IDE,insulin degrading enzyme,3416
218397_at,3.04E-01,1.39E-01,-1.51,-5.847598,-3.33E-01,FANCL,Fanconi anemia complementation group L,55120
218023_s_at,3.04E-01,1.39E-01,1.51,-5.847683,1.60E-01,FAM53C,family with sequence similarity 53 member C,51307
207937_x_at,3.04E-01,1.39E-01,-1.51,-5.847763,-4.39E-02,FGFR1,fibroblast growth factor receptor 1,2260
209760_at,3.04E-01,1.39E-01,-1.51,-5.847889,-2.49E-01,KIAA0922,KIAA0922,23240
203436_at,3.04E-01,1.39E-01,1.51,-5.847921,1.55E-01,RPP30,ribonuclease P/MRP subunit p30,10556
218642_s_at,3.04E-01,1.39E-01,1.51,-5.848411,1.96E-01,CHCHD7,coiled-coil-helix-coiled-coil-helix domain containing 7,79145
219660_s_at,3.04E-01,1.39E-01,-1.51,-5.84843,-6.77E-02,ATP8A2,ATPase phospholipid transporting 8A2,51761
221719_s_at,3.04E-01,1.39E-01,-1.51,-5.848756,-8.81E-02,LZTS1,leucine zipper tumor suppressor 1,11178
